 ,Global_record,RouteScenario_0_rep0,RouteScenario_1_rep0,RouteScenario_2_rep0,RouteScenario_3_rep0,RouteScenario_4_rep0
Status,Failed,Completed,Failed - Agent timed out,Completed,Completed,Completed
N Infractions,,31,3,3,2,7
Coll with Layout,6.8%,2,1,,,
Coll with Pedestrians,4.5%,2,,,,
Coll with Vehicles,45.4%,15,,1,2,2
Red light,0.0%,,,,,
Stop,11.3%,1,,1,,3
Outside lanes,0.2%,1,,,,
Useless Decelerations,4.5%,,,1,,1
Yield emergency vehicles,0.0%,,,,,
Scenario timeouts,27.2%,10,1,,,1
Driving score,20.253066,0.0,5.5,46.9,36.0,12.8
Route Complention,82.428,100,12.1,100,100,100
Infraction Penalty,0.282483,0.0,0.5,0.5,0.4,0.1
Simulation time (s),,2773.4,475.9,201.9,372.9,401.4
Route Deviation,0.0,,,,,
Vehicle Blocked,0.0,,,,,
Route Timeout,0.131,,Route timeout.,,,
